#Atmosphere title
n Nicolas Iro planetary profile
#zero-point in height is 94358.9, units in km and mbar
z 94358.9
ur 1e5
up 1e3

#abundances by number
q number

#isotope list
i CH4 CO H2O IonMolHyd IonHyd K Na TiO

f H2 = 0.85
f He = 0.15

#rad-z    pressure    temperature       q_CH4                   q_CO ...
-6797.21  0.3488E+07  5276.19885762853  2.288755146204095E-005  3.355625569829411E-004  6.996799290255744E-004  1.971551592148621E-007  2.002971522545255E-006  3.267302118035964E-008  1.624125205958135E-006  7.311539999065334E-009
-6605.93  0.3081E+07  5135.52171269482  2.464749893568713E-005  3.585631604628022E-004  6.967625071026350E-004  1.445866793768784E-007  1.654991461389484E-006  3.493150597999350E-008  1.755735929971673E-006  8.307058546994134E-009
-6418.18  0.2719E+07  4996.56400991509  2.620468808952703E-005  3.803359167307499E-004  6.936042525387732E-004  1.047088367348490E-007  1.354797601068482E-006  3.802896954651508E-008  1.898600537564553E-006  9.433918475820438E-009
-6234.42  0.2398E+07  4859.67345825839  2.752634296239660E-005  4.006824153013065E-004  6.902609958403700E-004  7.475414445073374E-008  1.096662815080397E-006  4.149103377569838E-008  2.044256044209157E-006  1.071207273952752E-008
-6055.65  0.2115E+07  4725.60624725833  2.859355760562810E-005  4.194213340432474E-004  6.867708541780253E-004  5.276735044063724E-008  8.798194236751479E-007  4.535349489514384E-008  2.191308616464540E-006  1.216101248354721E-008
-5881.45  0.1865E+07  4594.07087686937  2.941271161600030E-005  4.365825452893958E-004  6.831221304823646E-004  3.678123725724853E-008  6.989242709096753E-007  4.966911601143299E-008  2.337847977933361E-006  1.381270049541165E-008
-5712.44  0.1645E+07  4465.56057153885  2.999746350053497E-005  4.521346649917112E-004  6.793093871890548E-004  2.533513394545432E-008  5.499183985529492E-007  5.445772343841498E-008  2.480837748867101E-006  1.569319877697437E-008
-5548.20  0.1451E+07  4339.80360764891  3.037572931562274E-005  4.661750702092626E-004  6.753041951788058E-004  1.722186434192596E-008  4.281210685161056E-007  5.976230159833208E-008  2.618192476348203E-006  1.784232994919246E-008
-5387.74  0.1279E+07  4216.08115684046  3.058046899466417E-005  4.788534128488691E-004  6.710710031892665E-004  1.151703898903291E-008  3.290561966637530E-007  6.606929200946904E-008  2.748414873179922E-006  2.031840496429680E-008
-5231.46  0.1127E+07  4094.74624705575  3.064471918028774E-005  4.902099056258669E-004  6.666302924152087E-004  7.576755382974266E-009  2.496233867517354E-007  7.300272925821537E-008  2.870085841385745E-006  2.316399012849762E-008
-5080.11  0.9934E+06  3976.43759165079  3.060453997970839E-005  5.002798692012535E-004  6.620493261473886E-004  4.914425695644014E-009  1.871948148098462E-007  8.054956629770078E-008  2.980391718927080E-006  2.641651642605998E-008
-4933.25  0.8757E+06  3860.87093829006  3.049583664674147E-005  5.091869874627665E-004  6.573973188356611E-004  3.138385370927014E-009  1.386348871768355E-007  8.871134582371098E-008  3.078711251490027E-006  3.013767882817131E-008
-4790.92  0.7721E+06  3748.13485898742  3.035227796915957E-005  5.170180396770463E-004  6.527870618903489E-004  1.972905015530588E-009  1.013742084785055E-007  9.743300274232966E-008  3.164666573773028E-006  3.438113092258683E-008
-4653.16  0.6810E+06  3638.33043109244  3.020530944247117E-005  5.238555382928619E-004  6.483495447070146E-004  1.222090316014825E-009  7.325756009364535E-008  1.066776042968723E-007  3.238643233080199E-006  3.919576733124904E-008
-4519.90  0.6009E+06  3531.46206943571  3.008422053990479E-005  5.297816493598613E-004  6.442121210924398E-004  7.458885944672313E-010  5.231581419575189E-008  1.163753770107151E-007  3.301192000477421E-006  4.462475371298438E-008
-4391.30  0.5306E+06  3427.72284146669  3.001688778329236E-005  5.348609423100703E-004  6.404919191740956E-004  4.488737311240950E-010  3.693584079057801E-008  1.264775684543813E-007  3.353029705780061E-006  5.068319605033181E-008
-4266.77  0.4687E+06  3326.79043865894  3.002884259618048E-005  5.391756227181210E-004  6.372569848011271E-004  2.659841992979277E-010  2.575810446170245E-008  1.366823087307697E-007  3.395399669404588E-006  5.739081140199031E-008
-4145.97  0.4142E+06  3228.71188470783  3.014377503339654E-005  5.427815013874639E-004  6.345541537948967E-004  1.551940635066201E-010  1.774259522560081E-008  1.467753604071609E-007  3.429401669081372E-006  6.471388618795448E-008
-4028.99  0.3663E+06  3133.60458723210  3.039205589444527E-005  5.457164438434534E-004  6.324108919010160E-004  8.922033557139853E-011  1.207596647513920E-008  1.565347963195306E-007  3.456131706092096E-006  7.256953194790490E-008
-3806.75  0.2872E+06  2951.76341385501  3.144684291424023E-005  5.496855944427959E-004  6.298198323949993E-004  2.814031942881038E-011  5.386068950791445E-009  1.743729555661600E-007  3.492141005018472E-006  8.940745491165733E-008
-3701.01  0.2545E+06  2865.01458616096  3.228148992852770E-005  5.508135405689901E-004  6.292940722148292E-004  1.543327715450404E-011  3.529099622848649E-009  1.821417513611527E-007  3.503315666548271E-006  9.803228588508286E-008
-3500.25  0.2006E+06  2699.92692996258  3.484371416048080E-005  5.513036410986113E-004  6.298377110701320E-004  4.437303675884455E-012  1.459568458108881E-009  1.950333163932991E-007  3.515840804504522E-006  1.146516627893646E-007
-3404.47  0.1782E+06  2620.92622677873  3.664594850997878E-005  5.506872722570576E-004  6.308850744847525E-004  2.314847122389454E-012  9.181896624719312E-010  2.001805807158007E-007  3.518358979435843E-006  1.223120918259154E-007
-3311.88  0.1585E+06  2544.74316773400  3.886397732496781E-005  5.494655578893799E-004  6.324786427549295E-004  1.190914162181370E-012  5.709785652737202E-010  2.044757694851074E-007  3.518912303106363E-006  1.292837676941098E-007
