# Old IRAC 4 (8.0 um) spectral response file.

# Extracted from:
# http://irsa.ipac.caltech.edu/data/SPITZER/docs/irac/calibrationfiles/spectralresponse/irac_tr4_2004-08-09.dat

# wavel (um)  response
 8.445        0.308200
 8.459        0.312000
 8.473        0.315700
 8.487        0.317500
 8.501        0.317400
 8.515        0.316300
 8.529        0.313900
 8.543        0.311400
 8.557        0.310700
 8.571        0.311900
 8.585        0.313100
 8.599        0.313100
 8.614        0.312900
 8.628        0.312800
 8.642        0.312900
 8.657        0.312400
 8.671        0.311100
 8.686        0.308700
 8.700        0.303700
 8.715        0.297000
 8.730        0.291400
 8.744        0.287900
 8.759        0.286300
 8.774        0.287600
 8.789        0.291500
 8.804        0.296300
 8.819        0.300300
 8.834        0.302100
 8.849        0.301600
 8.864        0.299200
 8.879        0.296100
 8.894        0.294400
 8.910        0.292800
 8.925        0.291400
 8.940        0.290700
 8.956        0.289000
 8.971        0.287800
 8.987        0.287300
 9.003        0.286400
 9.018        0.285700
 9.034        0.284200
 9.050        0.281300
 9.066        0.278300
 9.081        0.275300
 9.097        0.273000
 9.113        0.271900
 9.129        0.270600
 9.145        0.269100
 9.162        0.267300
 9.178        0.263300
 9.194        0.257400
 9.210        0.249300
 9.227        0.239000
 9.243        0.227800
 9.260        0.215200
 9.276        0.201000
 9.293        0.186700
 9.310        0.173800
 9.326        0.162000
 9.343        0.150500
 9.360        0.138900
 9.377        0.125300
 9.394        0.109700
 9.411        0.094590
 9.428        0.080550
 9.445        0.067880
 9.463        0.055700
 9.480        0.043480
 9.497        0.032500
 9.515        0.022990
 9.532        0.015390
 9.550        0.010800
 9.567        0.007850
 9.585        0.005610
 9.603        0.004374
 9.621        0.003300
 9.638        0.002547
 9.656        0.001985
 9.674        0.001671
 9.692        0.000757
 9.711        0.001264
 9.729        0.001430
 9.747        0.000987
 9.765        0.000652
 9.784        0.000585
 9.802        0.000430
 9.821        0.000430
 9.840        0.000644
 9.858        0.000283
 9.877        0.000413
 9.896        0.000346
 9.915        0.000528
 9.934        0.000338
 9.953        0.000596
 9.972        0.000219
 9.991        0.000337
10.010        0.000164
10.030        0.000296
10.050        0.000457
10.070        0.000648
10.090        0.000608
10.110        0.000223
10.130        0.000077
10.150        0.000054
10.170        0.000243
10.190        0.000518
10.210        0.000497
10.230        0.000637
10.250        0.000721
10.270        0.000529
10.290        0.000468
10.310        0.000115
