# MIPS imaging filter bandpasses           21 March 2000
# Extracted from (on date 26 March 2014):
# http://irsa.ipac.caltech.edu/data/SPITZER/docs/files/spitzer/MIPSfiltsumm.txt

# 24 microns                70 microns NB               160 microns
# lambda    response        lambda      response        lambda      response
  27.878    0.148445        101.9592    0.034554        114.7317    0.002368
  28.029    0.130555        103.0103    0.033021        114.8966    0.002635
  28.181    0.117945        104.0833     0.03299        115.0619    0.002708
  28.335    0.107676        105.1789    0.032422        115.2277    0.002766
  28.491    0.097827        106.2978    0.030687         115.394    0.003203
  28.649    0.088869        107.4408    0.030265        115.5607     0.00352
  28.808    0.080512        108.6087    0.030992        115.7279    0.003654
  28.969    0.072124        109.8022     0.03027        115.8957    0.003983
  29.131    0.060997        111.0222     0.02935        116.0639    0.004197
  29.296    0.051086                                    116.2326    0.004252
  29.462    0.042525                                    116.4018    0.004276
  29.631    0.035384                                    116.5714    0.004526
  29.801    0.029764                                    116.7416    0.004801
  29.973    0.025596                                    116.9123    0.005002
  30.148    0.021807                                    117.0835    0.005536
  30.324     0.01919                                    117.2552    0.005423
  30.502    0.016606                                    117.4273    0.005623
  30.683    0.013779                                       117.6    0.005942
  30.865    0.011002                                    117.7732    0.006242
  31.050    0.008476                                    117.9469    0.006348
  31.237    0.006381                                    118.1211    0.006335
  31.427    0.004758                                    118.2959    0.006441
  31.618    0.003471                                    118.4711    0.006615
  31.812    0.002394                                    118.6469     0.00724
  32.009    0.001482                                    118.8232    0.007551
  32.207    0.000727                                         119    0.008008
                                                        119.1774    0.008284
                                                        119.3552     0.00864
                                                        119.5337    0.008983
                                                        119.7126    0.009191
                                                        119.8921    0.009407
                                                        120.0721    0.009608
                                                        120.2527    0.009991
                                                        120.4338    0.010152
                                                        120.6154    0.010587
                                                        120.7976    0.011319
                                                        120.9804    0.011818
                                                        121.1637    0.012091
                                                        121.3475    0.012364
                                                        121.5319    0.012936
                                                        121.7169    0.013422
                                                        121.9025    0.014121
                                                        122.0886    0.014813
                                                        122.2752    0.015229
                                                        122.4625    0.016504
                                                        122.6503    0.017405
                                                        122.8387    0.017946
                                                        123.0277    0.018605
                                                        123.2173    0.019464
                                                        123.4074    0.020663
                                                        123.5982    0.021828
                                                        123.7895    0.022674
                                                        123.9814    0.023727
                                                        124.1739    0.025979
                                                         124.367    0.027942
                                                        124.5608    0.029283
                                                        124.7551    0.030681
                                                          124.95    0.032541
                                                        125.1456    0.034293
                                                        125.3417    0.036261
                                                        125.5385    0.038157
                                                        125.7359    0.040349
                                                        125.9339    0.043315
                                                        126.1325    0.046326
                                                        126.3318    0.049115
                                                        126.5317    0.051696
                                                        126.7322    0.054633
                                                        126.9334    0.057837
                                                        127.1352    0.060863
                                                        127.3376    0.063607
                                                        127.5407     0.06696
                                                        127.7444    0.071232
                                                        127.9488    0.076605
                                                        128.1539    0.080961
                                                        128.3596    0.085566
                                                        128.5659    0.089646
                                                         128.773    0.094342
                                                        128.9807    0.099703
                                                         129.189    0.104491
                                                        129.3981    0.109402
                                                        129.6078    0.114945
                                                        129.8182    0.120442
                                                        130.0293    0.127514
                                                        130.2411    0.134596
                                                        130.4535    0.138864
                                                        130.6667    0.146123
                                                        130.8805    0.150331
                                                        131.0951    0.157503
                                                        131.3104    0.162007
                                                        131.5263    0.170009
                                                         131.743     0.17437
                                                        131.9604    0.182098
                                                        132.1785    0.187804
                                                        132.3974    0.195749
                                                        132.6169    0.200513
                                                        132.8372    0.208706
                                                        133.0583    0.213323
                                                          133.28    0.222323
                                                        133.5025    0.226949
                                                        133.7258    0.231259
                                                        133.9498    0.239267
                                                        134.1745    0.241975
                                                           134.4    0.249969
                                                        134.6263    0.259455
                                                        134.8533    0.268523
                                                        135.0811    0.277311
                                                        135.3097    0.285225
                                                         135.539    0.293649
                                                        135.7691    0.302112
                                                             136    0.310823
                                                        136.2317    0.318801
                                                        136.4642    0.322865
                                                        136.6975    0.334176
                                                        136.9315     0.34868
                                                        137.1664    0.356199
                                                        137.4021    0.370831
                                                        137.6386    0.385731
                                                        137.8759    0.400423
                                                         138.114    0.414583
                                                         138.353    0.429878
                                                        138.5927       0.445
                                                        138.8334    0.457952
                                                        139.0748    0.465973
                                                        139.3171    0.480237
                                                        139.5602    0.495482
                                                        139.8042    0.509854
                                                        140.0491    0.532226
                                                        140.2948    0.547751
                                                        140.5413    0.562369
                                                        140.7888    0.584999
                                                        141.0371    0.608022
                                                        141.2862     0.62929
                                                        141.5363    0.645116
                                                        141.7873     0.65841
                                                        142.0391    0.671591
                                                        142.2918    0.675774
                                                        142.5455    0.688479
                                                           142.8    0.700292
                                                        143.0555    0.702498
                                                        143.3119    0.715888
                                                        143.5691     0.72826
                                                        143.8274    0.740454
                                                        144.0865    0.741969
                                                        144.3466    0.754591
                                                        144.6076    0.757151
                                                        144.8696    0.768715
                                                        145.1325    0.770594
                                                        145.3964    0.784353
                                                        145.6612    0.786992
                                                         145.927    0.798593
                                                        146.1938     0.80432
                                                        146.4616    0.812317
                                                        146.7303    0.813238
                                                             147    0.823684
                                                        147.2707    0.834649
                                                        147.5425    0.847635
                                                        147.8152    0.859012
                                                        148.0889    0.868908
                                                        148.3637    0.879965
                                                        148.6394    0.891054
                                                        148.9162    0.898551
                                                        149.1941    0.900832
                                                        149.4729    0.912081
                                                        149.7528    0.923489
                                                        150.0338    0.933271
                                                        150.3158    0.942213
                                                        150.5989    0.951861
                                                         150.883    0.961771
                                                        151.1683    0.972094
                                                        151.4546    0.981395
                                                         151.742    0.994476
                                                        152.0304    0.999749
                                                          152.32    0.999151
                                                        152.6107    0.997548
                                                        152.9025      0.9957
                                                        153.1954    0.995062
                                                        153.4895    0.993676
                                                        153.7846           1
                                                        154.0809    0.998353
                                                        154.3784    0.997502
                                                         154.677    0.995063
                                                        154.9768    0.993275
                                                        155.2777    0.992945
                                                        155.5798    0.980701
                                                        155.8831    0.977739
                                                        156.1875    0.975756
                                                        156.4932    0.965544
                                                           156.8    0.963634
                                                        157.1081     0.96077
                                                        157.4173    0.954258
                                                        157.7278    0.957757
                                                        158.0396    0.955337
                                                        158.3525    0.952607
                                                        158.6667    0.950778
                                                        158.9821     0.95971
                                                        159.2988    0.957048
                                                        159.6168    0.954059
                                                         159.936    0.950879
                                                        160.2565    0.949385
                                                        160.5783    0.947378
                                                        160.9014    0.946668
                                                        161.2258    0.946953
                                                        161.5515    0.947891
                                                        161.8786    0.955765
                                                        162.2069      0.9535
                                                        162.5366    0.954159
                                                        162.8676    0.956026
                                                           163.2    0.956026
                                                        163.5338    0.964962
                                                        163.8689    0.965461
                                                        164.2054    0.965031
                                                        164.5432    0.963797
                                                        164.8825    0.953418
                                                        165.2232    0.951826
                                                        165.5652    0.949067
                                                        165.9087    0.944964
                                                        166.2537    0.931234
                                                           166.6    0.926587
                                                        166.9478    0.920868
                                                        167.2971     0.91358
                                                        167.6478    0.898548
                                                             168    0.880514
                                                        168.3537    0.861504
                                                        168.7089    0.852693
                                                        169.0656    0.833905
                                                        169.4238     0.82043
                                                        169.7835    0.797571
                                                        170.1447    0.784459
                                                        170.5075    0.759877
                                                        170.8718    0.740617
                                                        171.2377    0.711354
                                                        171.6052    0.684708
                                                        171.9742    0.657276
                                                        172.3449    0.629894
                                                        172.7171    0.610668
                                                        173.0909    0.583345
                                                        173.4664    0.555174
                                                        173.8435    0.527646
                                                        174.2223      0.4969
                                                        174.6026    0.471499
                                                        174.9847    0.445906
                                                        175.3684    0.419362
                                                        175.7539      0.3933
                                                         176.141    0.368825
                                                        176.5298    0.344754
                                                        176.9204    0.325955
                                                        177.3127      0.3036
                                                        177.7067    0.282585
                                                        178.1025    0.265238
                                                           178.5    0.250196
                                                        178.8994    0.234194
                                                        179.3005    0.219211
                                                        179.7034    0.203229
                                                        180.1081    0.189903
                                                        180.5147    0.177366
                                                        180.9231     0.16602
                                                        181.3334     0.15316
                                                        181.7455    0.143091
                                                        182.1595    0.133721
                                                        182.5754    0.125481
                                                        182.9932    0.116889
                                                        183.4129    0.109056
                                                        183.8345    0.102276
                                                        184.2581    0.095799
                                                        184.6836    0.088747
                                                        185.1111    0.083556
                                                        185.5406    0.078206
                                                        185.9721    0.072986
                                                        186.4056    0.068567
                                                        186.8412    0.064252
                                                        187.2787    0.059304
                                                        187.7183    0.054956
                                                          188.16    0.051705
                                                        188.6038    0.047743
                                                        189.0497    0.044662
                                                        189.4977    0.041159
                                                        189.9478    0.038585
                                                           190.4    0.035677
                                                        190.8544    0.033044
                                                         191.311    0.030634
                                                        191.7698    0.028746
                                                        192.2308    0.026742
                                                         192.694     0.02463
                                                        193.1595    0.022829
                                                        193.6271    0.020896
                                                        194.0971    0.019406
                                                        194.5694    0.018199
                                                        195.0439    0.016901
                                                        195.5208    0.016001
                                                             196    0.014935
                                                        196.4816    0.013881
                                                        196.9655    0.013061
                                                        197.4519    0.012065
                                                        197.9406     0.01121
                                                        198.4318     0.01045
                                                        198.9254    0.009667
                                                        199.4215    0.009083
                                                          199.92    0.008501

