# Old IRAC 3 (5.8 um) spectral response file.

# Extracted from:
# http://irsa.ipac.caltech.edu/data/SPITZER/docs/irac/calibrationfiles/spectralresponse/irac_tr3_2004-08-09.dat

# wavel (um)  response
 4.626        0.000067
 4.630        0.000065
 4.634        0.000070
 4.638        0.000079
 4.642        0.000091
 4.646        0.000100
 4.651        0.000105
 4.655        0.000103
 4.659        0.000100
 4.663        0.000091
 4.667        0.000073
 4.672        0.000064
 4.676        0.000074
 4.680        0.000078
 4.684        0.000070
 4.688        0.000065
 4.693        0.000071
 4.697        0.000079
 4.701        0.000072
 4.706        0.000050
 4.710        0.000024
 4.714        0.000005
 4.718        0.000010
 4.723        0.000022
 4.727        0.000014
 4.731        0.000072
 4.736        0.000075
 4.740        0.000065
 4.744        0.000046
 4.749        0.000036
 4.753        0.000029
 4.757        0.000031
 4.762        0.000068
 4.766        0.000077
 4.770        0.000091
 4.775        0.000101
 4.779        0.000103
 4.784        0.000103
 4.788        0.000108
 4.792        0.000103
 4.797        0.000089
 4.801        0.000077
 4.806        0.000074
 4.810        0.000068
 4.815        0.000067
 4.819        0.000074
 4.824        0.000075
 4.828        0.000064
 4.833        0.000054
 4.837        0.000057
 4.842        0.000066
 4.846        0.000081
 4.851        0.000106
 4.855        0.000127
 4.860        0.000132
 4.864        0.000118
 4.869        0.000088
 4.874        0.000057
 4.878        0.000040
 4.883        0.000064
 4.887        0.000123
 4.892        0.000200
 4.897        0.000290
 4.901        0.000418
 4.906        0.000582
 4.910        0.000047
 4.915        0.000160
 4.920        0.000351
 4.924        0.000669
 4.929        0.001159
 4.934        0.001900
 4.939        0.003030
 4.943        0.004231
 4.948        0.006523
 4.953        0.009625
 4.957        0.013520
 4.962        0.018150
 4.967        0.023320
 4.972        0.028810
 4.976        0.034550
 4.981        0.040360
 4.986        0.046150
 4.991        0.051910
 4.996        0.057520
 5.000        0.063040
 5.005        0.068450
 5.010        0.073600
 5.015        0.078550
 5.020        0.083160
 5.025        0.087200
 5.030        0.090530
 5.034        0.092920
 5.039        0.094310
 5.044        0.094720
 5.049        0.094310
 5.054        0.093580
 5.059        0.092840
 5.064        0.092490
 5.069        0.092930
 5.074        0.094190
 5.079        0.096370
 5.084        0.099370
 5.089        0.102800
 5.094        0.106500
 5.099        0.110100
 5.104        0.113500
 5.109        0.116300
 5.114        0.118500
 5.119        0.120200
 5.124        0.121300
 5.129        0.121800
 5.134        0.122000
 5.139        0.121800
 5.144        0.121600
 5.149        0.121200
 5.155        0.120600
 5.160        0.120100
 5.165        0.119700
 5.170        0.119200
 5.175        0.118900
 5.180        0.118700
 5.185        0.118600
 5.191        0.118800
 5.196        0.119400
 5.201        0.120400
 5.206        0.121700
 5.212        0.123500
 5.217        0.125500
 5.222        0.127700
 5.227        0.129700
 5.233        0.131600
 5.238        0.133400
 5.243        0.134500
 5.248        0.135000
 5.254        0.135100
 5.259        0.134600
 5.264        0.133600
 5.270        0.132300
 5.275        0.130700
 5.281        0.128600
 5.286        0.126500
 5.291        0.124900
 5.297        0.123300
 5.302        0.122200
 5.308        0.122100
 5.313        0.122700
 5.318        0.124100
 5.324        0.126100
 5.329        0.128600
 5.335        0.131400
 5.340        0.134000
 5.346        0.136600
 5.351        0.138800
 5.357        0.140200
 5.362        0.141200
 5.368        0.142000
 5.374        0.142500
 5.379        0.142800
 5.385        0.143200
 5.390        0.143600
 5.396        0.143600
 5.402        0.143600
 5.407        0.143600
 5.413        0.143300
 5.418        0.143300
 5.424        0.143000
 5.430        0.142400
 5.436        0.141900
 5.441        0.141800
 5.447        0.141700
 5.453        0.141400
 5.458        0.141200
 5.464        0.141200
 5.470        0.141100
 5.476        0.141000
 5.481        0.141200
 5.487        0.141200
 5.493        0.141000
 5.499        0.141000
 5.505        0.141000
 5.511        0.140500
 5.516        0.140300
 5.522        0.140400
 5.528        0.140400
 5.534        0.141000
 5.540        0.141900
 5.546        0.143500
 5.552        0.145500
 5.558        0.147400
 5.564        0.149100
 5.570        0.150600
 5.576        0.151800
 5.582        0.152300
 5.588        0.152100
 5.594        0.151700
 5.600        0.151300
 5.606        0.150800
 5.612        0.150200
 5.618        0.149700
 5.624        0.149400
 5.630        0.149400
 5.636        0.149800
 5.643        0.150400
 5.649        0.151100
 5.655        0.152100
 5.661        0.153200
 5.667        0.154300
 5.673        0.155700
 5.680        0.156500
 5.686        0.156900
 5.692        0.157200
 5.698        0.156700
 5.705        0.156300
 5.711        0.156000
 5.717        0.155300
 5.723        0.155400
 5.730        0.156100
 5.736        0.157200
 5.742        0.159000
 5.749        0.160700
 5.755        0.161800
 5.762        0.163000
 5.768        0.163400
 5.774        0.162300
 5.781        0.161300
 5.787        0.160000
 5.794        0.158500
 5.800        0.158100
 5.807        0.158000
 5.813        0.158500
 5.820        0.159800
 5.826        0.160800
 5.833        0.161600
 5.839        0.162400
 5.846        0.163000
 5.853        0.163500
 5.859        0.164000
 5.866        0.164200
 5.873        0.164600
 5.879        0.165600
 5.886        0.165700
 5.893        0.165900
 5.899        0.166500
 5.906        0.166000
 5.913        0.165600
 5.919        0.165200
 5.926        0.164300
 5.933        0.164200
 5.940        0.163900
 5.947        0.163700
 5.953        0.164000
 5.960        0.165000
 5.967        0.166800
 5.974        0.168100
 5.981        0.168700
 5.988        0.169800
 5.995        0.169900
 6.002        0.168800
 6.009        0.168100
 6.016        0.167100
 6.023        0.165800
 6.030        0.164700
 6.037        0.164200
 6.044        0.164900
 6.051        0.165700
 6.058        0.165500
 6.065        0.166300
 6.072        0.167600
 6.079        0.167400
 6.086        0.166900
 6.093        0.166700
 6.101        0.165800
 6.108        0.164700
 6.115        0.163700
 6.122        0.162000
 6.129        0.160400
 6.137        0.159500
 6.144        0.159000
 6.151        0.158700
 6.159        0.158800
 6.166        0.159100
 6.173        0.159400
 6.181        0.160500
 6.188        0.161900
 6.195        0.162700
 6.203        0.163600
 6.210        0.164100
 6.218        0.163400
 6.225        0.162000
 6.233        0.159800
 6.240        0.156800
 6.248        0.153700
 6.255        0.151200
 6.263        0.149300
 6.270        0.148500
 6.278        0.149000
 6.285        0.150400
 6.293        0.152900
 6.301        0.155700
 6.308        0.157900
 6.316        0.159500
 6.324        0.160500
 6.331        0.160500
 6.339        0.160400
 6.347        0.160000
 6.355        0.158500
 6.363        0.156900
 6.370        0.153900
 6.378        0.148000
 6.386        0.140300
 6.394        0.130600
 6.402        0.119700
 6.410        0.109500
 6.418        0.099760
 6.426        0.090160
 6.434        0.080700
 6.442        0.070250
 6.450        0.058410
 6.458        0.045630
 6.466        0.033190
 6.474        0.022530
 6.482        0.014270
 6.490        0.008504
 6.498        0.004826
 6.506        0.002741
 6.514        0.001650
 6.523        0.001036
 6.531        0.000657
 6.539        0.000441
 6.547        0.000320
 6.556        0.000218
 6.564        0.000133
 6.572        0.000090
 6.581        0.000141
 6.589        0.000160
 6.597        0.000187
 6.606        0.000088
 6.614        0.000108
 6.623        0.000084
 6.631        0.000191
 6.640        0.000128
 6.648        0.000086
 6.657        0.000084
 6.665        0.000104
 6.674        0.000113
 6.682        0.000096
 6.691        0.000029
 6.700        0.000015
 6.708        0.000041
 6.717        0.000046
 6.726        0.000074
 6.734        0.000120
 6.743        0.000056
 6.752        0.000070
 6.761        0.000060
 6.770        0.000160
 6.778        0.000128
 6.787        0.000067
 6.796        0.000125
 6.805        0.000138
 6.814        0.000174
 6.823        0.000051
 6.832        0.000094
 6.841        0.000106
 6.850        0.000100
 6.859        0.000088
 6.868        0.000074
 6.877        0.000069
 6.886        0.000086
 6.896        0.000118
