#wvn cm-1        wvl um           modulation
2884.94449       3.4662712        0.0157681811      
2885.14449       3.46603092       0.0158355945      
2885.34449       3.46579067       0.0154000522      
2885.54449       3.46555045       0.0155266022      
2885.74449       3.46531026       0.0158140763      
2885.94449       3.46507011       0.0157982151      
2886.14449       3.46483          0.0158697121      
2886.34449       3.46458991       0.0152698667      
2886.54449       3.46434986       0.0157870335      
2886.74449       3.46410984       0.0157828168      
2886.94449       3.46386986       0.0153689624      
2887.14449       3.46362991       0.0158110638      
2887.34449       3.46338999       0.0157321203      
2887.54449       3.4631501        0.0155227989      
2887.74449       3.46291025       0.0154940538      
2887.94449       3.46267043       0.0154212747      
2888.14449       3.46243065       0.0158019062      
2888.34449       3.4621909        0.0158258168      
2888.54449       3.46195118       0.0156247075      
2888.74449       3.46171149       0.0155602937      
2888.94449       3.46147184       0.0155586076      
2889.14449       3.46123222       0.0153485201      
2889.34449       3.46099264       0.0155801788      
2889.54449       3.46075308       0.0156784944      
2889.74449       3.46051356       0.015467956       
2889.94449       3.46027408       0.0154608683      
2890.14449       3.46003462       0.0160159256      
2890.34449       3.4597952        0.0159644883      
2890.54449       3.45955582       0.0153976134      
2890.74449       3.45931646       0.0157133038      
2890.94449       3.45907714       0.01589286        
2891.14449       3.45883785       0.0157282267      
2891.34449       3.4585986        0.015837615       
2891.54449       3.45835938       0.0157943487      
2891.74449       3.45812019       0.0158790511      
2891.94449       3.45788103       0.0158249591      
2892.14449       3.45764191       0.0154843597      
2892.34449       3.45740282       0.0159182513      
2892.54449       3.45716377       0.0158519218      
2892.74449       3.45692474       0.0154036245      
2892.94449       3.45668575       0.0155315003      
2893.14449       3.4564468        0.015982142       
2893.34449       3.45620787       0.015790792       
2893.54449       3.45596898       0.0159111687      
2893.74449       3.45573012       0.0152915799      
2893.94449       3.4554913        0.0159081242      
2894.14449       3.45525251       0.0156489842      
2894.34449       3.45501375       0.0155204686      
2894.54449       3.45477502       0.0153564863      
2894.74449       3.45453633       0.0157510547      
2894.94449       3.45429767       0.0157183318      
2895.14449       3.45405904       0.0152785803      
2895.34449       3.45382045       0.0154661602      
2895.54449       3.45358189       0.0154561078      
2895.74449       3.45334336       0.015882838       
2895.94449       3.45310486       0.0154096238      
2896.14449       3.4528664        0.0156893419      
2896.34449       3.45262797       0.0155880306      
2896.54449       3.45238957       0.0156808853      
2896.74449       3.45215121       0.0157123508      
2896.94449       3.45191288       0.0155207677      
2897.14449       3.45167458       0.0158702864      
2897.34449       3.45143632       0.0155229495      
2897.54449       3.45119809       0.0155920545      
2897.74449       3.45095989       0.0155751837      
2897.94449       3.45072172       0.015629111       
2898.14449       3.45048359       0.0154278965      
2898.34449       3.45024549       0.0154971759      
2898.54449       3.45000742       0.0157533095      
2898.74449       3.44976939       0.0154793584      
2898.94449       3.44953138       0.0152836993      
2899.14449       3.44929342       0.0156943549      
2899.34449       3.44905548       0.0157644         
2899.54449       3.44881758       0.0157497473      
2899.74449       3.44857971       0.0157430781      
2899.94449       3.44834187       0.015491297       
2900.14449       3.44810406       0.0155547883      
2900.34449       3.44786629       0.0156039162      
2900.54449       3.44762855       0.015741968       
2900.74449       3.44739085       0.0157333903      
2900.94449       3.44715317       0.0154870935      
2901.14449       3.44691553       0.015695372       
2901.34449       3.44667792       0.015829223       
2901.54449       3.44644035       0.0158460459      
2901.74449       3.4462028        0.0159049896      
2901.94449       3.4459653        0.0159366337      
2902.14449       3.44572782       0.0155877949      
2902.34449       3.44549037       0.0159106665      
2902.54449       3.44525296       0.0156939265      
2902.74449       3.44501558       0.0157852203      
2902.94449       3.44477824       0.015854013       
2903.14449       3.44454092       0.0155215204      
2903.34449       3.44430364       0.0155723852      
2903.54449       3.44406639       0.0155381331      
2903.74449       3.44382918       0.0154897713      
2903.94449       3.443592         0.0154135361      
2904.14449       3.44335485       0.0157672511      
2904.34449       3.44311773       0.0159326212      
2904.54449       3.44288064       0.0159871309      
2904.74449       3.44264359       0.0156142834      
2904.94449       3.44240657       0.0154231782      
2905.14449       3.44216958       0.0154411614      
2905.34449       3.44193263       0.0156260117      
2905.54449       3.44169571       0.0155345614      
2905.74449       3.44145882       0.015922375       
2905.94449       3.44122196       0.0155140895      
2906.14449       3.44098514       0.0154488824      
2906.34449       3.44074835       0.0156430885      
2906.54449       3.44051159       0.0158297749      
2906.74449       3.44027486       0.0158000186      
2906.94449       3.44003817       0.0156595738      
2907.14449       3.43980151       0.0154971141      
2907.34449       3.43956488       0.0157450676      
2907.54449       3.43932828       0.015665574       
2907.74449       3.43909172       0.0154096684      
2907.94449       3.43885519       0.0158574273      
2908.14449       3.43861869       0.0158991953      
2908.34449       3.43838223       0.0157235245      
2908.54449       3.43814579       0.0158147761      
2908.74449       3.43790939       0.0159024455      
2908.94449       3.43767302       0.0154220392      
2909.14449       3.43743669       0.0156635983      
2909.34449       3.43720038       0.0158460104      
2909.54449       3.43696411       0.0157932153      
2909.74449       3.43672788       0.0159757574      
2909.94449       3.43649167       0.0158554271      
2910.14449       3.4362555        0.015719017       
2910.34449       3.43601936       0.0156237405      
2910.54449       3.43578325       0.0157327638      
2910.74449       3.43554717       0.0158255957      
2910.94449       3.43531113       0.0158241639      
2911.14449       3.43507512       0.0154579039      
2911.34449       3.43483914       0.0157756312      
2911.54449       3.43460319       0.0159493878      
2911.74449       3.43436728       0.0157373594      
2911.94449       3.4341314        0.0161037599      
2912.14449       3.43389555       0.0156370592      
2912.34449       3.43365973       0.0156254875      
2912.54449       3.43342395       0.0159684838      
2912.74449       3.4331882        0.0157996284      
2912.94449       3.43295248       0.0155440211      
2913.14449       3.43271679       0.015527566       
2913.34449       3.43248113       0.0153711989      
2913.54449       3.43224551       0.0154449044      
2913.74449       3.43200992       0.0154880188      
2913.94449       3.43177436       0.0154106225      
2914.14449       3.43153884       0.0154890445      
2914.34449       3.43130335       0.0157173357      
2914.54449       3.43106789       0.0158868788      
2914.74449       3.43083246       0.0154313044      
2914.94449       3.43059706       0.0155128566      
2915.14449       3.4303617        0.0154927953      
2915.34449       3.43012637       0.015645432       
2915.54449       3.42989107       0.0157110636      
2915.74449       3.4296558        0.0158735546      
2915.94449       3.42942057       0.0158590255      
2916.14449       3.42918536       0.0154653335      
2916.34449       3.42895019       0.0158111828      
2916.54449       3.42871505       0.0159676457      
2916.74449       3.42847995       0.0155956359      
2916.94449       3.42824488       0.0156240836      
2917.14449       3.42800983       0.0159024066      
2917.34449       3.42777483       0.0155016548      
2917.54449       3.42753985       0.0155102849      
2917.74449       3.4273049        0.0155793522      
2917.94449       3.42706999       0.0156998972      
2918.14449       3.42683511       0.0158122187      
2918.34449       3.42660026       0.0153048128      
2918.54449       3.42636545       0.0154811994      
2918.74449       3.42613067       0.0155928724      
2918.94449       3.42589591       0.0158443592      
2919.14449       3.42566119       0.015914812       
2919.34449       3.42542651       0.0158824028      
2919.54449       3.42519185       0.0155565995      
2919.74449       3.42495723       0.0153745325      
2919.94449       3.42472264       0.0157145954      
2920.14449       3.42448808       0.0158658388      
2920.34449       3.42425355       0.0158550252      
2920.54449       3.42401906       0.0155082252      
2920.74449       3.4237846        0.0153633322      
2920.94449       3.42355017       0.0157506695      
2921.14449       3.42331577       0.0157537926      
2921.34449       3.4230814        0.0157489834      
2921.54449       3.42284707       0.0158369492      
2921.74449       3.42261277       0.0155863415      
2921.94449       3.4223785        0.0156259997      
2922.14449       3.42214426       0.0158241344      
2922.34449       3.42191006       0.0157535833      
2922.54449       3.42167588       0.0154697663      
2922.74449       3.42144174       0.0157665234      
2922.94449       3.42120763       0.0157254015      
2923.14449       3.42097356       0.015821196       
2923.34449       3.42073951       0.0155633553      
2923.54449       3.4205055        0.0155709809      
2923.74449       3.42027152       0.0154828314      
2923.94449       3.42003757       0.0154827029      
2924.14449       3.41980365       0.0153851947      
2924.34449       3.41956977       0.0158704973      
2924.54449       3.41933591       0.0157114329      
2924.74449       3.41910209       0.0157188216      
2924.94449       3.4188683        0.0157707191      
2925.14449       3.41863454       0.015926237       
2925.34449       3.41840082       0.015963224       
2925.54449       3.41816713       0.0159186932      
2925.74449       3.41793346       0.0154390357      
2925.94449       3.41769984       0.015821457       
2926.14449       3.41746624       0.0158034576      
2926.34449       3.41723267       0.0158051167      
2926.54449       3.41699914       0.0158939215      
2926.74449       3.41676564       0.0157870368      
2926.94449       3.41653217       0.0158229359      
2927.14449       3.41629873       0.0158333286      
2927.34449       3.41606532       0.0158184466      
2927.54449       3.41583195       0.0156785544      
2927.74449       3.41559861       0.0156029052      
